trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,c(5),3,0,0,ERM 1,1387,0,1397
2,f(7),2,0,0,ERM 1,2917,2396,3132
trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,j(1),3,0,0,ERM 1,1426,2430,6208
2,k(2),2,1,0.5,ERM 1,7346,8349,9919
3,k(2),3,0,0.333333333333333,ERM 1,13855,14857,15486
4,d(5),2,0,0.25,ERM 1,16501,17503,17917
5,g(7),7,1,0.4,ERM 1,18785,19787,20331
6,j(1),0,0,0.333333333333333,ERM 1,21130,22132,22671
7,g(7),0,0,0.285714285714286,ERM 1,23445,24447,24904
8,i(1),1,1,0.375,ERM 1,25840,26842,27434
9,i(1),4,0,0.333333333333333,ERM 1,28226,29229,29613
10,h(0),7,0,0.3,ERM 1,30454,31456,31885
